article,marker_index,claude,gemini,final,verdict,context
030_最高_1915-05,9,ᄒᆞᆷ,홈,ᄒᆞᆷ,C,은衆生이오解키難⟪ᄒᆞᆷ⟫도亦衆生이로다.
030_最高_1915-05,10,講演,∅,냐.,제3안,何故로死ᄒᆞᄂᆞ⟪냐.⟫古人이曰死生이亦
030_最高_1915-05,14,키,긔,키,C,는理論中에도的信⟪키⟫難ᄒᆞᆫ分子가多
030_最高_1915-05,15,∅,澁,,C,論中에도的信키難⟪⟫ᄒᆞᆫ分子가多ᄒ
030_最高_1915-05,16,∅,部,,C,도的信키難ᄒᆞᆫ⟪⟫分子가多ᄒᆞᆷ을
030_最高_1915-05,17,∅,야,,C,的信키難ᄒᆞᆫ分⟪⟫子가多ᄒᆞᆷ을疑
030_最高_1915-05,18,ᄒᆞᆷ,言,ᄒᆞᆷ,C,難ᄒᆞᆫ分子가多⟪ᄒᆞᆷ⟫을疑ᄒᆞ노니其ᄂ
030_最高_1915-05,19,ᆷ으,므,ᆷ으,C,上解答이缺如ᄒᆞ⟪ᆷ으⟫로써니라.但吾人
030_最高_1915-05,21,ᄒᆞ,喜,ᄒᆞᆷ,제3안,肉塊가母胎中에出⟪ᄒᆞᆷ⟫을見ᄒᆞᆯᄲᅮᆫ
030_最高_1915-05,22,얏는兼,고是樂,ᆯᄲᅮᆫ兼,제3안,出ᄒᆞᆷ을見ᄒᆞ⟪ᆯᄲᅮᆫ兼⟫ᄒᆞ야腐臭臭ᄒᆞ
030_最高_1915-05,23,얏슨,고是憂,ᆯᄲᅮᆫ,제3안,에埋沒됨을見ᄒᆞ⟪ᆯᄲᅮᆫ⟫不知케라.靈의個
030_最高_1915-05,25,ᆺᄒᆞ는,弋ᄒᆞ노니,弋ᄒᆞᄂᆞᆫ,제3안,라.靈의個体가遊⟪弋ᄒᆞᄂᆞᆫ⟫三千白玉樓의別區
030_最高_1915-05,28,日,曰,曰,G,耶曰天國이니라佛⟪曰⟫三生이니라.然ᄒ
030_最高_1915-05,29,∅,야有劫의인긔法을物에宗教이며여魚亦猶ᄒᆞ고閑忙고肉惡이키爲오只,,C,然ᄒᆞ나吾人은其⟪⟫所謂天國其所謂極
030_最高_1915-05,35,遺,遣,遣,G,어다.蓋人生은消⟪遣⟫法的動物이라.生
030_最高_1915-05,36,나,노,ᄂᆞ,제3안,ᆞ며一切을意ᄒᆞ⟪ᄂᆞ⟫니其知라動치안코
030_最高_1915-05,38,ᄒᆞᆯ지,혼덜,ᄒᆞᆫ덜,제3안,其知라動치안코져⟪ᄒᆞᆫ덜⟫可得ᄒᆞ며其情이
030_最高_1915-05,39,져ᄒᆞᆯ지,저혼들,져ᄒᆞᆫ들,제3안,其情이라慾치안코⟪져ᄒᆞᆫ들⟫可得ᄒᆞ며其意라
030_最高_1915-05,40,져ᄒᆞᆯ지,저혼들,져ᄒᆞᆫ들,제3안,며其意라量치안코⟪져ᄒᆞᆫ들⟫可得ᄒᆞ리오.故
030_最高_1915-05,41,已,己,已,C,리오.故로人生은⟪已⟫코져ᄒᆞ야도得已
030_最高_1915-05,43,ᄒᆞ,∅,ᄒᆞ야도,제3안,故로人生은已코져⟪ᄒᆞ야도⟫得已치못ᄒᆞᆯ一
030_最高_1915-05,44,ᄒᆞᆷ,∅,이有ᄒᆞᆷ,제3안,天的知情意의作用⟪이有ᄒᆞᆷ⟫으로百年未滿의鳥
030_最高_1915-05,45,烏兎,鳥鬼,鳥兎,제3안,ᆷ으로百年未滿의⟪鳥兎⟫中에셔千古永劫의
030_最高_1915-05,47,鳶,爲,.鳶,제3안,亦宇宙의宗敎이라⟪.鳶⟫은天에飛ᄒᆞ에魚
030_最高_1915-05,48,ᄂᆞᆫ淵,는눈,에魚ᄂᆞᆫ淵,제3안,.鳶은天에飛ᄒᆞ⟪에魚ᄂᆞᆫ淵⟫에躍ᄒᆞ니是가消
030_最高_1915-05,50,消,∅,亦消,제3안,霜에墜ᄒᆞ니是가⟪亦消⟫遣法이아니냐.三
030_最高_1915-05,51,ᄒ,弓,弓ᄒᆞ고,제3안,年笛裡에寒月이滿⟪弓ᄒᆞ고⟫七里桐江에仙風이
030_最高_1915-05,52,∅,ᆞ,ᆞ고肉,제3안,蔡에孔席이不暖ᄒ⟪ᆞ고肉⟫山脯林에桀慾이盈
030_最高_1915-05,60,∅,ᆯ,ᆯ,G,"倦怠ᄒᆞ야死ᄒᆞ⟪ᆯ⟫而已라ᄒᆞ니,果"
030_最高_1915-05,61,∅,ᆫ,ᆫ,G,.然ᄒᆞ나短ᄒᆞ⟪ᆫ⟫生命됨을不拘ᄒᆞ
030_最高_1915-05,62,흠,ᄒᆞᆷ,ᄒᆞᆷ,G,고同一의事를繰返⟪ᄒᆞᆷ⟫은事實이라.一切
030_最高_1915-05,63,은摠,ᆷ은總,ᆷ은總,G,ᆞ며蠢蠢히動ᄒᆞ⟪ᆷ은總⟫是同一ᄒᆞᆫ事를
030_最高_1915-05,64,∅,ᆫ,ᆫ,G,ᆷ은總是同一ᄒᆞ⟪ᆫ⟫事를繰返ᄒᆞ면셔
030_最高_1915-05,65,셔,서,셔,C,ᆫ事를繰返ᄒᆞ면⟪셔⟫生命이最終一日를
030_最高_1915-05,66,의難흠이여盖消遣法를,을,를,제3안,셔生命이最終一日⟪를⟫得ᄒᆞᆯᄲᅮᆫ.
030_最高_1915-05,68,∅,의難ᄒᆞᆷ이여盖消遣法은,의難ᄒᆞᆷ이여.蓋消遣法은,제3안,ᆫ.嗟홉다消遣法⟪의難ᄒᆞᆷ이여.蓋消遣法은⟫人生의天職을刹那
030_最高_1915-05,71,∅,ᆫ,ᆫ,G,ᆞᆫ間에無窮ᄒᆞ⟪ᆫ⟫天職이此裏에셔消
030_最高_1915-05,72,셔,서,셔,C,ᆞᆫ天職이此裏에⟪셔⟫消化됨을通見ᄒᆞ
030_最高_1915-05,73,∅,ᆫ,ᆫ,G,ᄒᆞ야此無窮ᄒᆞ⟪ᆫ⟫天職을把ᄒᆞ야勇
030_最高_1915-05,74,∅,持,,C,窮ᄒᆞᆫ天職을把⟪⟫ᄒᆞ야勇敢히進步
030_最高_1915-05,75,∅,ᆫ,ᆫ,G,ᆞ나此는容易ᄒᆞ⟪ᆫ⟫業이아인故로吾人
030_最高_1915-05,76,敎,教,敎,C,勢에適合ᄒᆞᆫ宗⟪敎⟫ᄂᆞᆫ神識에暗ᄒ
030_最高_1915-05,77,∅,合,,C,敎ᄂᆞᆫ神識에暗⟪⟫ᄒᆞᆫ衆生을指導
030_最高_1915-05,78,ᆫ,야,ᆫ,C,ᆞᆫ神識에暗ᄒᆞ⟪ᆫ⟫衆生을指導ᄒᆞᄂ
031_篤心_1915-06,4,ᄒᆞ더,러,터,제3안,夜東園에風呻雨泣⟪터⟫니佳三月美少年을
031_篤心_1915-06,5,目,自,自,G,니佳三月美少年을⟪自⟫矜ᄒᆞ든盡無量의
031_篤心_1915-06,10,ᄒᆞ,ㅎ,ᄒᆞ,C,느듯天國으로旅行⟪ᄒᆞ⟫고綠陰芳草의新舞
031_篤心_1915-06,11,ᄂᆞᆫ,는,ᄂᆞᆫ,C,綠陰芳草의新舞臺⟪ᄂᆞᆫ⟫祝融大帝의出席을
031_篤心_1915-06,17,ᄒᆞ,ㅎ,ᄒᆞ,C,ᄒᆞ나眞理되믈知⟪ᄒᆞ⟫면서常히無常을嘆
031_篤心_1915-06,18,ᄒᆞ몬,ㅎ옴은,ᄒᆞᆷ은,제3안,면서常히無常을嘆⟪ᄒᆞᆷ은⟫人生의弱點이니라
031_篤心_1915-06,19,ᄒᆞ,ㅎ,ᄒᆞ,C,死生의不平均에至⟪ᄒᆞ⟫야ᄂᆞᆫ聖賢의知
031_篤心_1915-06,20,ᄂᆞᆫ,는,ᄂᆞᆫ,C,不平均에至ᄒᆞ야⟪ᄂᆞᆫ⟫聖賢의知와雄傑의
031_篤心_1915-06,21,∅,도,,C,와雄傑의勇으로도⟪⟫亦哭之慟의處가無
031_篤心_1915-06,22,ᄒᆞ,ㅎ,ᄒᆞ,C,慟의處가無치아니⟪ᄒᆞ⟫거든況常識의吾人
031_篤心_1915-06,23,든,늘,든,C,가無치아니ᄒᆞ거⟪든⟫況常識의吾人이야
031_篤心_1915-06,24,아,야,야,G,든況常識의吾人이⟪야⟫엇지斷魂의愛膓에
031_篤心_1915-06,25,膓,腸,膓,C,이야엇지斷魂의愛⟪膓⟫에拘泥치아니ᄒᆞ
031_篤心_1915-06,27,∅,오,.,제3안,泥치아니ᄒᆞ리오⟪.⟫年月日에本記者ᄂ
031_篤心_1915-06,29,ᄂᆞᆫ,는,ᄂᆞᆫ,C,.年月日에本記者⟪ᄂᆞᆫ⟫高原敎區를訪ᄒᆞ
031_篤心_1915-06,30,敎,數,敎,C,本記者ᄂᆞᆫ高原⟪敎⟫區를訪ᄒᆞ얏더라
031_篤心_1915-06,33,默,思,默,C,이라.萬籟千動은⟪默⟫想의宇宙에入코져
031_篤心_1915-06,34,저ᄒᆞᄂᆞ디,져ㅎ도되려,져ᄒᆞᄂᆞᆫᄃᆡ,제3안,默想의宇宙에入코⟪져ᄒᆞᄂᆞᆫᄃᆡ⟫一點의孤燈을兩兩
031_篤心_1915-06,35,ᄒᆞ,ㅎ,ᄒᆞ,C,의孤燈을兩兩相對⟪ᄒᆞ⟫야世道人事를隨問
031_篤心_1915-06,36,ᄒᆞᄂᆞᆫ,ㅎ는,ᄒᆞᄂᆞᆫ,C,道人事를隨問隨答⟪ᄒᆞᄂᆞᆫ⟫人은元山敎區長趙
031_篤心_1915-06,37,敎,數,敎,C,ᆞᄂᆞᆫ人은元山⟪敎⟫區長趙鍾鳳氏及該
031_篤心_1915-06,38,∅,俎,,C,ᄂᆞᆫ人은元山敎⟪⟫區長趙鍾鳳氏及該
031_篤心_1915-06,39,ㅣ,∅,-,제3안,林根泰氏外本記者⟪-⟫一人이有ᄒᆞᆯᄲ
031_篤心_1915-06,40,ᄒᆞᆯᄉᆞᆫ,憂色,ᄒᆞᆯᄲᅮᆫ,제3안,本記者-一人이有⟪ᄒᆞᆯᄲᅮᆫ⟫漸入佳境ᄒᆞᄂᆞ
031_篤心_1915-06,41,ᄂᆞ,∅,ᄂᆞ,C,ᅮᆫ漸入佳境ᄒᆞ⟪ᄂᆞ⟫ᆫ談片은生活問題
031_篤心_1915-06,42,도,에,로,제3안,ᆫ談片은生活問題⟪로⟫入ᄒᆞ야更히宗敎
031_篤心_1915-06,43,로,∅,로,C,宗敎問題宗敎問題⟪로⟫又更히死生의大問
031_篤心_1915-06,46,셔,서,셔,C,ᆫ美髯을撫ᄒᆞ면⟪셔⟫話柄을轉供ᄒᆞᄂ
031_篤心_1915-06,47,ᄂᆞᆫ,ᆯ,ᄂᆞᆫ,C,셔話柄을轉供ᄒᆞ⟪ᄂᆞᆫ⟫人은座中最老紳士
031_篤心_1915-06,48,되,딘,ᄃᆡ,제3안,紳士卽元山區長인⟪ᄃᆡ⟫人間의多風雨를經
031_篤心_1915-06,50,ー,ㅡ,-,제3안,開ᄒᆞ야「敦化君⟪-⟫君은這個의問題에
031_篤心_1915-06,54,彙,兼,兼,G,가.余의聯臂이며⟪兼⟫ᄒᆞ야余의友人되
031_篤心_1915-06,55,ᆫ,∅,ᆫ,C,야余의友人되ᄂᆞ⟪ᆫ⟫故崔錫基氏ᄂᆞᆫ
031_篤心_1915-06,56,錫,麟,錫,C,友人되ᄂᆞᆫ故崔⟪錫⟫基氏ᄂᆞᆫ吾敎의
031_篤心_1915-06,57,ᄂᆞᆫ,는,ᄂᆞᆫ,C,ᄂᆞᆫ故崔錫基氏⟪ᄂᆞᆫ⟫吾敎의篤信者니라
031_篤心_1915-06,62,踏,躡,躡,G,泰氏ᄂᆞᆫ語尾를⟪躡⟫ᄒᆞ야同樣의問題
031_篤心_1915-06,63,ᄂᆞᆫ되氏ᄂᆞᆫ,ᆫ지라氏는,ᄂᆞᆫᄃᆡ氏ᄂᆞᆫ,제3안,의問題를提出ᄒᆞ⟪ᄂᆞᆫᄃᆡ氏ᄂᆞᆫ⟫端雅ᄒᆞᆫ壯年紳
031_篤心_1915-06,64,雜俎頗,願,頗,제3안,ᄒᆞᆫ壯年紳士로⟪頗⟫히果斷이有ᄒᆞ며
031_篤心_1915-06,65,兼,策,兼,C,히果斷이有ᄒᆞ며⟪兼⟫ᄒᆞ야同情이富ᄒ
031_篤心_1915-06,66,∅,야,ᆫ,제3안,ᆞ야同情이富ᄒᆞ⟪ᆫ⟫人物이라.手를擧
031_篤心_1915-06,69,聰神經을蕭整,聽衆을驚歎,聰神經을奮整,제3안,를擧ᄒᆞ야塵中의⟪聰神經을奮整⟫케ᄒᆞ고感激ᄒᆞ
031_篤心_1915-06,70,ᄒᆞᆫ裏,케ᄒᆞ야衷,ᄒᆞᆫ衷,제3안,奮整케ᄒᆞ고感激⟪ᄒᆞᆫ衷⟫心을表ᄒᆞ야日「
031_篤心_1915-06,72,∅,가,.,제3안,ᆞ야日「然ᄒᆞ다⟪.⟫實로篤信者의死亡
031_篤心_1915-06,73,∅,는,ᄂᆞᆫ,제3안,의死亡에對ᄒᆞ야⟪ᄂᆞᆫ⟫如何히來世希望을
031_篤心_1915-06,74,다도同時에,ᆫ,ᆫ,G,來世希望을有ᄒᆞ⟪ᆫ⟫吾人이라도哭之痛
031_篤心_1915-06,88,는,ᆫ,야ᄂᆞᆫ,제3안,後-今日에在ᄒᆞ⟪야ᄂᆞᆫ⟫高原敎界에一空의
031_篤心_1915-06,89,室,空,空,G,ᆞᆫ高原敎界에一⟪空⟫의感이無치아니치
031_篤心_1915-06,93,서,셔,셔,G,靈은永遠히現世에⟪셔⟫靈的生活을營ᄒᆞ
031_篤心_1915-06,94,者라,ᆯ者인즉,ᄂᆞᆫ者라,제3안,靈的生活을營ᄒᆞ⟪ᄂᆞᆫ者라⟫吾人은確信ᄒᆞ노
031_篤心_1915-06,96,서,셔,셔,G,靈力이冥冥의中에⟪셔⟫子孫萬代를爲ᄒᆞ
031_篤心_1915-06,97,兩氏의家族一及其隣里는愈愈信仰生涯에入ᄒᆞ는는者니마盖,ᄒᆞᆫ者니라蓋,ᄒᆞᄂᆞᆫ者니라.蓋,제3안,代를爲ᄒᆞ야活動⟪ᄒᆞᄂᆞᆫ者니라.蓋⟫崔卓兩氏ᄂᆞᆫ性
031_篤心_1915-06,102,∅,ᄒᆞᆯ,.,제3안,同一車의兩輪이라⟪.⟫崔氏의郡의山面에
031_篤心_1915-06,104,∅,ᆷ,ᆷ,G,郡의野面의住ᄒᆞ⟪ᆷ⟫은其住所에셔方面
031_篤心_1915-06,105,∅,ᆷ,ᆷ,G,에셔方面이異ᄒᆞ⟪ᆷ⟫을不拘ᄒᆞ고崔氏
031_篤心_1915-06,106,共,그,崔,제3안,ᆞᆷ을不拘ᄒᆞ고⟪崔⟫氏의山面에對ᄒᆞ
031_篤心_1915-06,108,敎,ᆫ數,ᆫ敎,제3안,氏의山面에對ᄒᆞ⟪ᆫ敎⟫中活動과卓氏의野
031_篤心_1915-06,109,敎,ᆫ數中,ᆫ敎中,제3안,氏의野面에對ᄒᆞ⟪ᆫ敎中⟫誠力은同一線上의
031_篤心_1915-06,118,ᄃᆡ,즉,ᄃᆡ,C,本年이六十一歲인⟪ᄃᆡ⟫三月十四日午前十
031_篤心_1915-06,119,兼,象,兼,C,ᆞᆫ卽生月生日로⟪兼⟫ᄒᆞ야還元도亦其
031_篤心_1915-06,122,ᆷ,ᆫ즉,ᆷ,C,가全然히同一ᄒᆞ⟪ᆷ⟫은氏의在世의時에
031_篤心_1915-06,123,며,ᆫ바,며,C,呪를人에셔異ᄒᆞ⟪며⟫修性煉心이衆에셔
031_篤心_1915-06,124,∅,萃,,C,性煉心이衆에셔拔⟪⟫ᄒᆞ얏ᄂᆞ니或此
031_篤心_1915-06,125,ᄂᆞ,느,ᄂᆞ,C,이衆에셔拔ᄒᆞ얏⟪ᄂᆞ⟫니或此에因ᄒᆞᆫ
031_篤心_1915-06,126,寄,야奇,ᆫ奇,제3안,ᆞ니或此에因ᄒᆞ⟪ᆫ奇⟫蹟이아닌가.又入
031_篤心_1915-06,128,∅,甲午,,C,의年月이久ᄒᆞ야⟪⟫甲午之風甲辰之霜
031_篤心_1915-06,129,殊ᄒᆞ,被ᄒᆞᆫ,被ᄒᆞᆫ,G,變과如홈은氏의特⟪被ᄒᆞᆫ⟫災異인ᄃᆡ氏의圓
031_篤心_1915-06,131,믈,되,믈,C,이七春秋의年下되⟪믈⟫不拘ᄒᆞ고死亡에
031_篤心_1915-06,132,∅,其,,C,下되믈不拘ᄒᆞ고⟪⟫死亡에셔二春秋의
031_篤心_1915-06,136,苦는,若은,苦ᄂᆞᆫ,제3안,融員의區務等諸勞⟪苦ᄂᆞᆫ⟫實吾儕의後進으로
031_篤心_1915-06,143,ᆫ,∅,ᆫ,C,邱의慘狀이有ᄒᆞ⟪ᆫ⟫後에吾敎徒ᄂᆞᆫ
031_篤心_1915-06,144,況이興,兄이與,況이興,C,과甲辰之分에吾敎⟪況이興⟫ᄒᆞ얏ᄂᆞᆫ가抑
031_篤心_1915-06,146,二,에,二,C,나一難에一興二難⟪二⟫興乃至百難에百興
031_篤心_1915-06,147,∅,于,,C,一興二難二興乃至⟪⟫百難에百興ᄒᆞ야
031_篤心_1915-06,148,ᄋᆡ,今日의,今日의,G,에百興ᄒᆞ야一層⟪今日의⟫勢에至ᄒᆞᆫ바ᄂ
031_篤心_1915-06,149,ᆫ바ᄂᆞᆫ엇,얏ᄂᆞᆫ,ᆫ바ᄂᆞᆫ엇,C,今日의勢에至ᄒᆞ⟪ᆫ바ᄂᆞᆫ엇⟫지他故가有ᄒᆞ리
031_篤心_1915-06,150,∅,라,,C,ᆞᆫ바ᄂᆞᆫ엇지⟪⟫他故가有ᄒᆞ리오
031_篤心_1915-06,151,故,敎,故,C,ᆫ바ᄂᆞᆫ엇지他⟪故⟫가有ᄒᆞ리오.還
031_篤心_1915-06,152,神,∅,神,C,.還元ᄒᆞ신吾兩⟪神⟫師의精靈及其幾千
031_篤心_1915-06,153,∅,帥,,C,元ᄒᆞ신吾兩神師⟪⟫의精靈及其幾千幾
031_篤心_1915-06,154,∅, ,,C,吾兩神師의精靈及⟪⟫其幾千幾萬의信徒
031_篤心_1915-06,155,서,셔,셔,G,人의腦的靈座中에⟪셔⟫冥冥의敎訓을垂ᄒ
031_篤心_1915-06,157,變ᄒᆞ야靈,驚,靈,제3안,니오但肉的生活을⟪靈⟫的狀態로變ᄒᆞᆷ
031_篤心_1915-06,161,으로哀悼치勿ᄒᆞ고企서其,은오직,으로哀悼치勿ᄒᆞ쇼셔.其ᄂᆞᆫ,제3안,여崔卓兩氏의還元⟪으로哀悼치勿ᄒᆞ쇼셔.其ᄂᆞᆫ⟫人情ᄲᅮᆫ習慣ᄲ
031_篤心_1915-06,163,ᄲᅮᆫ,뿐,ᄲᅮᆫ,C,仰如何를觀ᄒᆞᆯ⟪ᄲᅮᆫ⟫이오兩氏의個人的
031_篤心_1915-06,166,徒,益,益,G,ᆞᆯᄲᅮᆫ아니라⟪益⟫益吾人으로將來幸
