no,target_text,source_text,semantic_sim,hanja_sim,combined_score,target_uid,source_uid,검토결과,출처,target_local_id,source_local_id
24,以上은 生命이 가지고 잇는 特性을 一言으로 記錄함에 지나지 아니 하나 이제 生命發生에 對한 兩種의 議論을 말하면 하나는 機械論이라 하고 하나는 活精論이라 하나니,是れに付いても昔から色々理論がありますが、永井博士は機械論と生氣論、是れは吾々は活力論と申して居りますが、斯う云ふ二つの生命に關する理論を擧げて論じて居られる。,0.6546,0.1538,0.5044,BK_YD_1924_IY_00785,BK_IT_1915_PR_03797,일,중신뢰,C03-S04-I04-P06-S01,C08-P11-S02
25,以上은 生命이 가지고 잇는 特性을 一言으로 記錄함에 지나지 아니 하나 이제 生命發生에 對한 兩種의 議論을 말하면 하나는 機械論이라 하고 하나는 活精論이라 하나니,それ故生氣論と機械論と云ふ二つで以て、生命の理論を盡くしたと云ふ譯にはいかない。,0.6694,0.2222,0.5353,BK_YD_1924_IY_00785,BK_IT_1915_PR_03842,부분 일치,중신뢰,C03-S04-I04-P06-S01,C08-P12-S35
26,機械論은 生命을 力學的으로 解釋하야 生命의 運動을 機械의 運動과 同一視하는 純物質論의 所造로 나온 것이라,機械論といふ方は固より活力といふやうなものを認めないで、唯、機械的に生命といふものは出來て居るといふので、活力論とは反對の立場であります。,0.7202,0.2188,0.5698,BK_YD_1924_IY_00786,BK_IT_1915_PR_02382,부분 일치,중신뢰,C03-S04-I04-P06-S02,C06-P09-S36
27,더욱이 生命은 生長하는 것인즉 植物이 生하야 長함을 뉘—機械로 볼 수 잇스며,生命はさういふ機械的なものでない。,0.5046,0.5,0.5032,BK_YD_1924_IY_00792,BK_IT_1915_PR_02113,부분 일치,중신뢰,C03-S04-I04-P06-S08,C05-P24-S19
28,둘재는 生命이 他界로 부터 移轉하엿다는 說이니,其説によれは生命は他の世界から轉移して來た。,0.7735,0.5455,0.7051,BK_YD_1924_IY_00801,BK_IT_1915_PR_03872,,고신뢰,C03-S04-I04-P09-S01,C08-P13-S22
29,生命은 아직도 無限發達의 力을 가지고 엇더한 方面을 向하야 進步하는 中에 잇나니 이것이 吾人現在의 人類가 將次一人으로부터 超人의 境에 나갈 兆朕이라 하겟다,所が人間の場合に於ては、自分自ら現在より未來に向つて自己の生命の發展の途を開いて進んで行く、此自由の感と云ふものが最後まである。,0.6945,0.1778,0.5395,BK_YD_1924_IY_00833,BK_IT_1915_PR_03309,부분 일치,중신뢰,C03-S04-I04-P11-S15,C07-P10-S23
30,이것이 個體와 宇宙의 無差別한 둘재 点이며,個人と宇宙といふ者とは根本的の區別は出來ない。,0.711,0.25,0.5727,BK_YD_1924_IY_00846,BK_IT_1915_PR_02843,일,중신뢰,C03-S04-I05-P01-S07,C06-P26-S01
31,이것이 個體와 宇宙의 無差別한 둘재 点이며,さういふ譯のものでありますから個人と宇宙とは根本的に區別し得られるものでない。,0.6624,0.2667,0.5437,BK_YD_1924_IY_00846,BK_IT_1915_PR_02915,일,중신뢰,C03-S04-I05-P01-S07,C06-P28-S02
32,첫재는 사람 本位의 意識論이니 即 사람 以外의 것은 무엇이든지 意識이 업다 하는 것이며,第一、人間本位意識論(Anthropistische Theorie des Bewnsstseins)是れは意識は人間のみに外ないと云ふ説であります。,0.7075,0.4,0.6152,BK_YD_1924_IY_00854,BK_IT_1915_PR_03348,,고신뢰,C03-S04-I05-P03-S01,C07-P13-S01
33,넷재는 生物 本位의 意識論이니 設使 動物이 안일지라도 生物이면 即 植物과 如한 것이라도 다 가티 意識이 잇다 하는 것인데 더욱이 廣博한 意識論의 思考라 할 것이며,第四、生物本位意識論（Biologische Theorie des Bewusstseins）是れは凡ての有機體に意識がある、即ち動植物を通じて意識があると云ふので、唯、意識は無機物にない。,0.727,0.3571,0.616,BK_YD_1924_IY_00857,BK_IT_1915_PR_03357,,고신뢰,C03-S04-I05-P06-S01,C07-P16-S01
34,物質의 原原子에 임의 意識이 잇는지라 그럼으로 原子로 結合된 細胞의 中에 意識이 잇게 되엿고 又 細胞를 組織된 生物의 中에 意識이 잇게 된 것이라,即ち細胞を組織して居る原子に感情があつて、其原子にあるのが集まつて細胞の感情狀態となつて居る。,0.7351,0.2609,0.5928,BK_YD_1924_IY_00893,BK_IT_1915_PR_00956,,고신뢰,C03-S04-I05-P11-S03,C03-P36-S17
35,物質의 原子에는 拒力 吸力이라 하는 것이 잇나니 拒力은 互相 排斥하는 力이오 吸力은 互相 化合하는 力이라,丁度さう云ふ工合に物質にも拒力引力といふものがある。,0.6618,0.2778,0.5466,BK_YD_1924_IY_00895,BK_IT_1915_PR_00948,부분 일치,중신뢰,C03-S04-I05-P12-S01,C03-P36-S09
36,우리가 사람의 肉體는 大槪 四百兆라 하는 多數의 細胞로 組織되엿나니,吾々の身體を構造して居るところの細胞がそんなに澤山あると云ふ事である。,0.6765,0.1364,0.5144,BK_YD_1924_IY_00901,BK_IT_1915_PR_02424,부분 일치,중신뢰,C03-S04-I05-P12-S07,C06-P10-S14
37,우리가 사람의 肉體는 大槪 四百兆라 하는 多數의 細胞로 組織되엿나니,四百兆の細胞から成つて居ると云ふことである。,0.6832,0.3125,0.572,BK_YD_1924_IY_00901,BK_IT_1915_PR_02846,일,중신뢰,C03-S04-I05-P12-S07,C06-P26-S04
38,此 四百兆의 細胞가 集合하야 一身體의 主國을 建設하엿는 故로,四百兆の細胞が一つに集まつて、どうして統體を成して往き居るか。,0.6885,0.4,0.6019,BK_YD_1924_IY_00902,BK_IT_1915_PR_02434,,고신뢰,C03-S04-I05-P12-S08,C06-P10-S24
39,此 四百兆의 細胞가 集合하야 一身體의 主國을 建設하엿는 故로,四百兆の細胞から成つて居ると云ふことである。,0.6517,0.2632,0.5351,BK_YD_1924_IY_00902,BK_IT_1915_PR_02846,일,중신뢰,C03-S04-I05-P12-S08,C06-P26-S04
40,意識界에는 可知界와 不可知界 두 가지가 잇다 하나니,意識界は即ち可知界である。,0.6106,0.7143,0.6417,BK_YD_1924_IY_00909,BK_IT_1915_PR_01816,,고신뢰,C03-S04-I05-P14-S01,C05-P14-S13
41,意識界에는 可知界와 不可知界 두 가지가 잇다 하나니,意識が即ち可知界である。,0.5692,0.7143,0.6127,BK_YD_1924_IY_00909,BK_IT_1915_PR_01831,,고신뢰,C03-S04-I05-P14-S01,C05-P14-S28
42,"可知界 (내부), 不可知界 (외부)",それは即ち不可知的(the Unknowable)である。,0.4971,0.5,0.498,BK_YD_1924_IY_00913,BK_IT_1915_PR_01074,부분 일치,중신뢰,ANNO,C03-P45-S05
43,그는 宇宙에 一定한 因果的 律法에 잇는 까닭이니,それは宇宙の廣汎なる法則に因つて制限されて來るのである。,0.674,0.2667,0.5518,BK_YD_1924_IY_01090,BK_IT_1915_PR_02904,부분 일치,중신뢰,C04-S01-I02-P03-S04,C06-P27-S19
44,徐徐히 簡單으로부터 複雜에 不完全으로부터 完全에 나아가게 되는 것이라,單純なる狀態から複雜なる狀態に向ひ、unintegrated state から into-grated state に向ひ、次第々に無秩序から秩序ある狀態に向ふ。,0.6648,0.1765,0.5183,BK_YD_1924_IY_01097,BK_IT_1915_PR_01011,부분 일치,중신뢰,C04-S01-I02-P04-S05,C03-P40-S17
45,譬컨대 사람의 身體를 四百兆의 細胞로 되엿다 하면 四백兆의 細胞가 混合하야 一肉體를 構成하엿다는 말로 드러서는 안된다,四百兆の細胞が一つに集まつて、どうして統體を成して往き居るか。,0.6077,0.4444,0.5587,BK_YD_1924_IY_01145,BK_IT_1915_PR_02434,일,중신뢰,C04-S01-I05-P01-S13,C06-P10-S24
46,譬컨대 사람의 身體를 四百兆의 細胞로 되엿다 하면 四백兆의 細胞가 混合하야 一肉體를 構成하엿다는 말로 드러서는 안된다,四百兆の細胞から成つて居ると云ふことである。,0.6477,0.375,0.5659,BK_YD_1924_IY_01145,BK_IT_1915_PR_02846,부분 일치,중신뢰,C04-S01-I05-P01-S13,C06-P26-S04
47,우리의 生活中- 가장 큰 問題는 이 生과 死라,生命に於ては其處に最も大事な處がある。,0.6533,0.0769,0.4804,BK_YD_1924_IY_01301,BK_IT_1915_PR_02431,부분 일치,중신뢰,C04-S03-I01-P03-S05,C06-P10-S21
48,마치 身體가 疲困할 時에는 무엇보다도 睡眠에 對한 快感을 要함과 가티 사람이 長路의 生活에 因하야 肉體的 生理가 自然死의 境涯에 達하고 보면 生理的 衝動은 스스로 死亡의 快感으로 變하게 됨으로 死는 决코 苦痛이 되지 안는다는 것이라,人生の長途に疲れて最後に死ぬる時は丁度其睡眠の樣な具合でなければならぬと思はれる。,0.6777,0.1628,0.5232,BK_YD_1924_IY_01355,BK_IT_1915_PR_04382,일,중신뢰,C04-S03-I03-P01-S07,C09-P21-S36
49,이에 對하야 두 가지 觀察点이 잇다 하나니 하나는 精神的 測度요 하나는 物質的 測度인 것이라,一方面が物質界であつて一方面が意識界即ち精神界である。,0.669,0.2222,0.535,BK_YD_1924_IY_01748,BK_IT_1915_PR_01004,일,중신뢰,C05-S06-I05-P03-S07,C03-P40-S10
50,이에 對하야 두 가지 觀察点이 잇다 하나니 하나는 精神的 測度요 하나는 物質的 測度인 것이라,之に精神的方面と物質的方面と兩方面ある。,0.732,0.3333,0.6124,BK_YD_1924_IY_01748,BK_IT_1915_PR_01026,,고신뢰,C05-S06-I05-P03-S07,C03-P40-S32
51,이에 對하야 두 가지 觀察点이 잇다 하나니 하나는 精神的 測度요 하나는 物質的 測度인 것이라,即ち物質的方面と精神的方面と云ふ兩的方面と兩方面ありと云つても宜い。,0.6834,0.2941,0.5666,BK_YD_1924_IY_01748,BK_IT_1915_PR_03513,일,중신뢰,C05-S06-I05-P03-S07,C08-P04-S77
52,사람은 個體로서는 아모 힘이 업는 것이다,人は何れも個體であります。,0.5909,0.5,0.5636,BK_YD_1924_IY_01862,BK_IT_1915_PR_06989,부분 일치,중신뢰,C06-S01-P03-S04,C18-P09-S65
53,人類社會를 維持함에는 統一的 力의 權威를 借引치 안이하면 안이된다,どうしても人力を俣たなければ統一と云ふことは出來ない。,0.653,0.2222,0.5238,BK_YD_1924_IY_02018,BK_IT_1915_PR_06642,일,중신뢰,C06-S05-P07-S02,C17-P11-S08
54,甲、基督敎는 純粹信仰에 依하야 成立된 宗敎이나 儒敎는 大體가 德敎인 것이다,第一、基督敎は宗敎として發達して來たものでありまして、信仰に依つて成立つて居ります。,0.7011,0.4091,0.6135,BK_YD_1924_IY_02079,BK_IT_1915_PR_05662,,고신뢰,C06-S06-P03-S01,C14-S01-P02-S01
55,乙 基督敎는 世界의 創造를 信하나 儒敎는 宇宙의 發展을 說한것이라,第二に、基督敎の方では世界の創造を信じて居りますけれども、儒敎にはさういふことが素より無い。,0.6942,0.4286,0.6145,BK_YD_1924_IY_02084,BK_IT_1915_PR_05666,,고신뢰,C06-S06-P04-S01,C14-S01-P03-S01
56,乙 基督敎는 世界의 創造를 信하나 儒敎는 宇宙의 發展을 說한것이라,儒敎では宇宙の發展して行く處は之を說きますけれども創造は說きませぬ。,0.7077,0.5,0.6454,BK_YD_1924_IY_02084,BK_IT_1915_PR_05667,,고신뢰,C06-S06-P04-S01,C14-S01-P03-S02
57,甲、佛敎는 靜的 氣分을 가젓스나 基督敎는 動的의 氣分이 잇는 것이니,基督敎は餘程活動的であるが、佛敎はさう活動的でない。,0.7057,0.4615,0.6325,BK_YD_1924_IY_02102,BK_IT_1915_PR_05998,,고신뢰,C06-S06-P10-S01,C15-S02-P02-S03
58,乙、佛敎는 理性的 方面이 多하되 基督敎는 感情的 方面이 多한 것,基督敎の方は徐程感情的情操的の處があります。,0.6495,0.4118,0.5782,BK_YD_1924_IY_02105,BK_IT_1915_PR_06026,일,중신뢰,C06-S06-P11-S01,C15-S02-P03-S06
59,乙、佛敎는 理性的 方面이 多하되 基督敎는 感情的 方面이 多한 것,佛敎は哲學的であるが爲めに理性的であります。,0.6983,0.3125,0.5826,BK_YD_1924_IY_02105,BK_IT_1915_PR_06047,,고신뢰,C06-S06-P11-S01,C15-S02-P05-S15
60,乙、佛敎는 理性的 方面이 多하되 基督敎는 感情的 方面이 多한 것,基督敎は宗敎的であるが爲めに感情的であります。,0.719,0.4,0.6233,BK_YD_1924_IY_02105,BK_IT_1915_PR_06048,,고신뢰,C06-S06-P11-S01,C15-S02-P05-S16
61,丁、儒敎는 神人敎이나 基督敎는 神政敎인 것이라,基督敎は神政敎(セオクラシー)であります。,0.6478,0.625,0.6409,BK_YD_1924_IY_02111,BK_IT_1915_PR_06095,,고신뢰,C06-S06-P13-S01,C15-S03-P03-S12
62,佛敎는 萬物이 皆有佛心이라하야 汎神觀的 觀念下에서 人으로 佛될 可能性이 有하다 認定하는 宗敎이나,佛敎は神人一の敎である。,0.6784,0.1905,0.532,BK_YD_1924_IY_02112,BK_IT_1915_PR_05409,부분 일치,중신뢰,C06-S06-P13-S02,C13-P26-S03
63,佛敎는 萬物이 皆有佛心이라하야 汎神觀的 觀念下에서 人으로 佛될 可能性이 有하다 認定하는 宗敎이나,佛敎では誰れにでも佛性といふものが具はつて居るものと見る。,0.691,0.125,0.5212,BK_YD_1924_IY_02112,BK_IT_1915_PR_06088,일,중신뢰,C06-S06-P13-S02,C15-S03-P03-S05
64,佛敎는 個我를 沒케 하야 大我 即 佛의 性을 實現함으로써 그 目的을 삼앗스나,佛敎の目的とする處は沒我である。,0.6789,0.4615,0.6137,BK_YD_1924_IY_02115,BK_IT_1915_PR_06106,,고신뢰,C06-S06-P14-S02,C15-S03-P04-S03
65,딸아서 佛敎는 어대까지든지 差別相을 沒함으로써 眞覺이라 하엿고,佛敎は差別相からして平等相に入らうとする敎である。,0.6109,0.4545,0.564,BK_YD_1924_IY_02117,BK_IT_1915_PR_06112,일,중신뢰,C06-S06-P14-S04,C15-S03-P04-S09
